id,OCCP_NAME_G,CUST_JOB_INCM,HSHD_INFR_INCM,ACTL_FMLY_NUM,CUST_FMLY_NUM,LAST_CHLD_AGE,MATE_OCCP_NAME_G,MATE_JOB_INCM,CRDT_LOAN_CNT,MIN_CNTT_DATE,TOT_CRLN_AMT,TOT_REPY_AMT,CRLN_OVDU_RATE,CRLN_30OVDU_RATE,LT1Y_CLOD_RATE,STRT_CRDT_GRAD,LTST_CRDT_GRAD,PREM_OVDU_RATE,LT1Y_PEOD_RATE,AVG_STLN_RATE,STLN_REMN_AMT,LT1Y_STLN_AMT,LT1Y_SLOD_RATE,GDINS_MON_PREM,SVINS_MON_PREM,FMLY_GDINS_MNPREM,FMLY_SVINS_MNPREM,MAX_MON_PREM,TOT_PREM,FMLY_TOT_PREM,CNTT_LAMT_CNT,LT1Y_CTLT_CNT,AUTR_FAIL_MCNT,FYCM_PAID_AMT,FMLY_CLAM_CNT,FMLY_PLPY_CNT,AGE,SEX
1,운전직,0,11000,3,1,34,,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,60000,7000000,7000000,0,0,0,200000,2,1,60,1
2,3차산업 종사자,0,3300,4,2,39,1차산업 종사자,0,1,200110,4000000,4000000,64,0,0,0,0,12,0,0,0,0,0,0,0,0,0,490000,30000000,34000000,1,0,0,7600000,4,6,50,2
3,2차산업 종사자,4100,6300,4,2,19,3차산업 종사자,0,1,200311,5000000,5000000,0,0,0,0,0,12,0,100,2000000,0,0,0,0,340000,0,50000,3000000,11000000,0,0,0,400000,2,2,50,1
4,주부,0,4900,2,2,0,자영업,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,110000,12000000,22000000,0,0,0,21700000,0,3,55,1
5,기업/단체 임원,7200,14900,3,2,14,기업/단체 임원,7200,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,90000,0,90000,0,150000,15000000,20000000,0,0,0,700000,3,2,40,1
6,,4700,14900,4,2,,,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590000,300000,590000,590000,50000000,80000000,0,0,0,400000,6,4,50,2
7,사무직,4100,4100,2,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000000,13000000,0,0,0,0,0,2,40,2
8,공무원,3600,7400,4,1,9,3차산업 종사자,3900,0,0,0,0,0,0,0,0,0,6,0,100,0,0,20,130000,0,130000,0,130000,7000000,7000000,0,0,12,0,0,0,40,2
9,주부,0,10100,4,1,19,기업/단체 임원,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,340000,0,340000,0,340000,6000000,6000000,0,0,0,200000,2,0,55,1
10,주부,0,9800,3,1,34,운전직,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6990000,159000000,159000000,3,0,0,0,0,1,60,2
11,3차산업 종사자,3500,8500,4,1,14,사무직,5000,0,0,0,0,0,0,0,0,0,30,10미만,99,2000000,3000000,0,110000,0,110000,0,790000,13000000,13000000,0,0,11,500000,2,1,40,1
12,전문직,5900,9900,2,2,0,주부,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,230000,70000,12000000,23000000,0,0,0,7700000,4,0,40,2
13,주부,0,4000,5,3,9,전문직,3900,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,70000,100000,490000,100000,190000,6000000,31000000,0,0,0,10300000,42,0,30,2
14,학생,0,7200,1,1,0,,0,0,0,0,0,0,0,0,0,0,45,50미만,0,0,0,0,230000,0,230000,0,340000,3000000,3000000,1,1,8,0,0,0,30,2
15,주부,0,5300,4,1,19,사무직,5300,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,190000,4000000,4000000,0,0,0,700000,2,1,50,2
